"airline";"flight number";"origin airport";"destination airport";"origin city";"destination city";"origin country";"destination country";"STD";"STA";"UTC diff origin";"UTC diff destination";"days of operation";"AC type";"seat capacity"
"XY";571;"ZRH";"FCO";"ZRH";"ROM";"CH";"IT";"12:20";"13:55";120;120;"1.3456.";"E75";76
"XY";573;"ZRH";"FCO";"ZRH";"ROM";"CH";"IT";"18:45";"20:20";120;120;"1234567";"E75";76
"XY";651;"YYZ";"FCO";"YTO";"ROM";"CA";"IT";"22:45";"13:20";-240;120;"1234567";332;239
"XY";491;"WAW";"FCO";"WAW";"ROM";"PL";"IT";"13:20";"15:40";120;120;"1234567";"32S";168
"XY";1496;"VRN";"FCO";"VRN";"ROM";"IT";"IT";"18:55";"20:00";120;120;"12.4567";"E90";108
"XY";1490;"VRN";"FCO";"VRN";"ROM";"IT";"IT";"08:05";"09:10";120;120;"...45.7";319;138
"XY";1496;"VRN";"FCO";"VRN";"ROM";"IT";"IT";"18:55";"20:00";120;120;"..3....";319;138
"XY";1494;"VRN";"FCO";"VRN";"ROM";"IT";"IT";"16:55";"18:00";120;120;"1234567";"E75";76
"XY";1492;"VRN";"FCO";"VRN";"ROM";"IT";"IT";"12:35";"13:40";120;120;"1234567";319;138
"XY";1490;"VRN";"FCO";"VRN";"ROM";"IT";"IT";"08:05";"09:10";120;120;"123..6.";320;167
"XY";83;"VLC";"FCO";"VLC";"ROM";"ES";"IT";"17:55";"19:50";120;120;"1234.67";319;138
"XY";189;"VIE";"FCO";"VIE";"ROM";"AT";"IT";"12:10";"13:45";120;120;"12.4567";"E75";76
"XY";191;"VIE";"FCO";"VIE";"ROM";"AT";"IT";"18:50";"20:25";120;120;"1234567";"E75";76
"XY";1472;"VCE";"FCO";"VCE";"ROM";"IT";"IT";"14:35";"15:40";120;120;"12.456.";"E90";108
"XY";1470;"VCE";"FCO";"VCE";"ROM";"IT";"IT";"16:55";"18:00";120;120;"12345.7";"32S";168
"XY";1462;"VCE";"FCO";"VCE";"ROM";"IT";"IT";"19:15";"20:20";120;120;"1234567";319;138
"XY";1472;"VCE";"FCO";"VCE";"ROM";"IT";"IT";"14:35";"15:40";120;120;"......7";"32S";168
"XY";1464;"VCE";"FCO";"VCE";"ROM";"IT";"IT";"12:25";"13:30";120;120;"1234567";"32S";168
"XY";1474;"VCE";"FCO";"VCE";"ROM";"IT";"IT";"19:40";"20:45";120;120;"12345.7";"E75";76
"XY";1470;"VCE";"FCO";"VCE";"ROM";"IT";"IT";"16:55";"18:00";120;120;".....6.";319;138
"XY";1460;"VCE";"FCO";"VCE";"ROM";"IT";"IT";"06:20";"07:25";120;120;"123456.";"E75";76
"XY";1472;"VCE";"FCO";"VCE";"ROM";"IT";"IT";"14:35";"15:40";120;120;"..3....";319;138
"XY";1468;"VCE";"FCO";"VCE";"ROM";"IT";"IT";"10:15";"11:20";120;120;"123456.";"E75";76
"XY";1466;"VCE";"FCO";"VCE";"ROM";"IT";"IT";"06:50";"07:55";120;120;"1234567";"E75";76
"XY";863;"TUN";"FCO";"TUN";"ROM";"TN";"IT";"17:35";"20:00";60;120;"1234567";"32S";168
"XY";867;"TUN";"FCO";"TUN";"ROM";"TN";"IT";"11:20";"13:45";60;120;"1234567";319;138
"XY";1364;"TRS";"FCO";"TRS";"ROM";"IT";"IT";"16:55";"18:05";120;120;"1234567";319;138
"XY";1360;"TRS";"FCO";"TRS";"ROM";"IT";"IT";"11:50";"13:00";120;120;"123.567";"E75";76
"XY";1354;"TRS";"FCO";"TRS";"ROM";"IT";"IT";"09:50";"11:00";120;120;"1234567";"E75";76
"XY";1705;"TRS";"NAP";"TRS";"NAP";"IT";"IT";"12:05";"13:20";120;120;"1234567";"E75";76
"XY";1366;"TRS";"CTA";"TRS";"CTA";"IT";"IT";"10:45";"12:25";120;120;"1234567";"E75";76
"XY";1362;"TRS";"FCO";"TRS";"ROM";"IT";"IT";"20:25";"21:35";120;120;"12345.7";319;138
"XY";1356;"TRS";"FCO";"TRS";"ROM";"IT";"IT";"08:10";"09:20";120;120;"1234567";319;138
"XY";1350;"TRS";"LIN";"TRS";"MIL";"IT";"IT";"06:50";"07:45";120;120;"12345..";"E75";76
"XY";1360;"TRS";"FCO";"TRS";"ROM";"IT";"IT";"12:05";"13:15";120;120;"...4...";319;138
"XY";1422;"TRN";"FCO";"TRN";"ROM";"IT";"IT";"19:10";"20:20";120;120;"....5..";319;138
"XY";1210;"TRN";"NAP";"TRN";"NAP";"IT";"IT";"08:45";"10:05";120;120;"123456.";319;138
"XY";1414;"TRN";"FCO";"TRN";"ROM";"IT";"IT";"12:30";"13:40";120;120;"1234567";"32S";168
"XY";1412;"TRN";"FCO";"TRN";"ROM";"IT";"IT";"10:25";"11:35";120;120;"12345..";"32S";168
"XY";1191;"TRN";"SUF";"TRN";"SUF";"IT";"IT";"17:30";"19:10";120;120;"1234567";319;138
"XY";1428;"TRN";"FCO";"TRN";"ROM";"IT";"IT";"20:55";"22:05";120;120;"12.4567";319;138
"XY";1412;"TRN";"FCO";"TRN";"ROM";"IT";"IT";"10:25";"11:35";120;120;".....6.";319;138
"XY";1428;"TRN";"FCO";"TRN";"ROM";"IT";"IT";"20:55";"22:05";120;120;"..3....";"E90";108
"XY";1418;"TRN";"FCO";"TRN";"ROM";"IT";"IT";"14:15";"15:25";120;120;"1234567";"E75";76
"XY";1410;"TRN";"FCO";"TRN";"ROM";"IT";"IT";"08:10";"09:20";120;120;"123456.";"32S";168
"XY";1426;"TRN";"FCO";"TRN";"ROM";"IT";"IT";"16:50";"18:00";120;120;"1234567";"32S";168
"XY";1432;"TRN";"FCO";"TRN";"ROM";"IT";"IT";"07:45";"08:55";120;120;"123456.";319;138
"XY";1410;"TRN";"FCO";"TRN";"ROM";"IT";"IT";"08:10";"09:20";120;120;"......7";319;138
"XY";1218;"TRN";"NAP";"TRN";"NAP";"IT";"IT";"21:30";"22:50";120;120;"12345.7";319;138
"XY";1640;"TRN";"BRI";"TRN";"BRI";"IT";"IT";"07:40";"09:10";120;120;"1234567";319;138
"XY";1216;"TRN";"NAP";"TRN";"NAP";"IT";"IT";"15:00";"16:20";120;120;"1234567";319;138
"XY";1746;"TRN";"PMO";"TRN";"PMO";"IT";"IT";"12:20";"13:55";120;120;"1234567";319;138
"XY";1422;"TRN";"FCO";"TRN";"ROM";"IT";"IT";"19:10";"20:20";120;120;"1234.67";"32S";168
"XY";1214;"TRN";"NAP";"TRN";"NAP";"IT";"IT";"17:25";"18:45";120;120;"1234567";"E75";76
"XY";1800;"TPS";"FCO";"TPS";"ROM";"IT";"IT";"15:55";"17:10";120;120;".....67";319;138
"XY";815;"TLV";"FCO";"TLV";"ROM";"IL";"IT";"05:50";"08:40";180;120;"......7";"32S";168
"XY";813;"TLV";"FCO";"TLV";"ROM";"IL";"IT";"20:15";"23:05";180;120;"1.3456.";321;200
"XY";809;"TLV";"FCO";"TLV";"ROM";"IL";"IT";"10:35";"13:25";180;120;"1234567";321;200
"XY";811;"TLV";"FCO";"TLV";"ROM";"IL";"IT";"17:10";"20:00";180;120;"1234567";321;200
"XY";815;"TLV";"FCO";"TLV";"ROM";"IL";"IT";"05:50";"08:40";180;120;"1.3.5..";321;200
"XY";367;"TLS";"FCO";"TLS";"ROM";"FR";"IT";"14:15";"16:00";120;120;"12345.7";"E75";76
"XY";871;"TIP";"FCO";"TIP";"ROM";"LY";"IT";"18:00";"20:00";120;120;"1234567";319;138
"XY";869;"TIP";"FCO";"TIP";"ROM";"LY";"IT";"11:20";"13:20";120;120;"1234567";319;138
"XY";585;"TIA";"FCO";"TIA";"ROM";"AL";"IT";"18:15";"19:40";120;120;"1234567";320;167
"XY";583;"TIA";"FCO";"TIA";"ROM";"AL";"IT";"05:35";"07:00";120;120;"12345.7";"32S";168
"XY";507;"TIA";"FCO";"TIA";"ROM";"AL";"IT";"11:55";"13:20";120;120;"123.567";319;138
"XY";559;"TGD";"FCO";"TGD";"ROM";"ME";"IT";"11:20";"12:50";120;120;".2.4.6.";"E75";76
"XY";551;"TBS";"FCO";"TBS";"ROM";"GE";"IT";"04:25";"06:40";240;120;".2.4..7";320;167
"XY";553;"SVX";"FCO";"SVX";"ROM";"RU";"IT";"06:15";"08:00";360;120;"..3.5.7";"32S";168
"XY";549;"SVO";"FCO";"MOW";"ROM";"RU";"IT";"13:45";"15:40";240;120;"1234567";"32S";168
"XY";595;"SVO";"FCO";"MOW";"ROM";"RU";"IT";"06:30";"08:25";240;120;"1234567";321;200
"XY";547;"SVO";"FCO";"MOW";"ROM";"RU";"IT";"18:10";"20:05";240;120;".2.4567";321;200
"XY";561;"SVO";"MXP";"MOW";"MIL";"RU";"IT";"14:45";"16:30";240;120;"1234567";"32S";168
"XY";565;"SVO";"MXP";"MOW";"MIL";"RU";"IT";"06:10";"07:55";240;120;"1234567";"32S";168
"XY";1178;"SUF";"FCO";"SUF";"ROM";"IT";"IT";"18:50";"20:00";120;120;".....6.";319;138
"XY";1174;"SUF";"LIN";"SUF";"MIL";"IT";"IT";"17:25";"19:05";120;120;".....6.";319;138
"XY";1174;"SUF";"LIN";"SUF";"MIL";"IT";"IT";"15:35";"17:15";120;120;"12345.7";319;138
"XY";1190;"SUF";"TRN";"SUF";"TRN";"IT";"IT";"20:00";"21:40";120;120;"1234567";319;138
"XY";1178;"SUF";"FCO";"SUF";"ROM";"IT";"IT";"18:50";"20:00";120;120;"12345.7";"32S";168
"XY";1172;"SUF";"FCO";"SUF";"ROM";"IT";"IT";"10:00";"11:10";120;120;"1234567";321;200
"XY";1166;"SUF";"FCO";"SUF";"ROM";"IT";"IT";"14:30";"15:40";120;120;"1234567";320;167
"XY";1162;"SUF";"FCO";"SUF";"ROM";"IT";"IT";"07:55";"09:05";120;120;"1234567";"32S";168
"XY";1168;"SUF";"FCO";"SUF";"ROM";"IT";"IT";"16:50";"18:00";120;120;"1......";"32S";168
"XY";1168;"SUF";"FCO";"SUF";"ROM";"IT";"IT";"16:50";"18:00";120;120;".234567";321;200
"XY";1176;"SUF";"FCO";"SUF";"ROM";"IT";"IT";"12:25";"13:35";120;120;"1234567";321;200
"XY";521;"SOF";"FCO";"SOF";"ROM";"BG";"IT";"19:05";"20:00";180;120;".23.567";"32S";168
"XY";729;"SKG";"FCO";"SKG";"ROM";"GR";"IT";"12:25";"13:15";180;120;"1234567";"E90";108
"XY";733;"SKG";"FCO";"SKG";"ROM";"GR";"IT";"07:10";"08:00";180;120;"1234567";"E90";108
"XY";731;"RHO";"FCO";"RHO";"ROM";"GR";"IT";"18:30";"20:05";180;120;".....67";"32S";168
"XY";1154;"REG";"FCO";"REG";"ROM";"IT";"IT";"07:55";"09:10";120;120;"1234567";320;167
"XY";1156;"REG";"FCO";"REG";"ROM";"IT";"IT";"12:10";"13:25";120;120;"1234567";320;167
